theta,A2,a,b,z,phi,status
30.0,6.0,12.2,5.3,-2.6,70.0,NotYet
30.0,6.0,12.2,5.3,-2.6,80.0,NotYet
30.0,6.0,12.2,5.3,-2.6,90.0,NotYet
30.0,6.0,12.2,5.3,-2.6,100.0,NotYet
30.0,6.0,12.2,5.3,-2.6,110.0,NotYet
30.0,6.0,12.3,5.3,-2.4,0.0,NotYet
30.0,6.0,12.3,5.3,-2.4,10.0,NotYet
30.0,6.0,12.3,5.3,-2.4,20.0,NotYet
30.0,6.0,12.3,5.3,-2.4,30.0,NotYet
30.0,6.0,12.3,5.3,-2.4,40.0,NotYet
30.0,6.0,12.3,5.3,-2.4,50.0,NotYet
30.0,6.0,12.3,5.3,-2.4,60.0,NotYet
30.0,6.0,12.3,5.3,-2.4,70.0,NotYet
30.0,6.0,12.3,5.3,-2.4,80.0,NotYet
30.0,6.0,12.3,5.3,-2.4,90.0,NotYet
30.0,6.0,12.3,5.3,-2.4,100.0,NotYet
30.0,6.0,12.3,5.3,-2.4,110.0,NotYet
30.0,6.0,12.6,5.4,-2.2,0.0,NotYet
30.0,6.0,12.6,5.4,-2.2,10.0,NotYet
30.0,6.0,12.6,5.4,-2.2,20.0,NotYet
30.0,6.0,12.6,5.4,-2.2,30.0,NotYet
30.0,6.0,12.6,5.4,-2.2,40.0,NotYet
30.0,6.0,12.6,5.4,-2.2,50.0,NotYet
30.0,6.0,12.6,5.4,-2.2,60.0,NotYet
30.0,6.0,12.6,5.4,-2.2,70.0,NotYet
30.0,6.0,12.6,5.4,-2.2,80.0,NotYet
30.0,6.0,12.6,5.4,-2.2,90.0,NotYet
30.0,6.0,12.6,5.4,-2.2,100.0,NotYet
30.0,6.0,12.6,5.4,-2.2,110.0,NotYet
30.0,6.0,13.4,5.4,-2.0,0.0,NotYet
30.0,6.0,13.4,5.4,-2.0,10.0,NotYet
30.0,6.0,13.4,5.4,-2.0,20.0,NotYet
30.0,6.0,13.4,5.4,-2.0,30.0,NotYet
30.0,6.0,13.4,5.4,-2.0,40.0,NotYet
30.0,6.0,13.4,5.4,-2.0,50.0,NotYet
30.0,6.0,13.4,5.4,-2.0,60.0,NotYet
30.0,6.0,13.4,5.4,-2.0,70.0,NotYet
30.0,6.0,13.4,5.4,-2.0,80.0,NotYet
30.0,6.0,13.4,5.4,-2.0,90.0,NotYet
30.0,6.0,13.4,5.4,-2.0,100.0,NotYet
30.0,6.0,13.4,5.4,-2.0,110.0,NotYet
30.0,6.0,13.6,5.5,-1.8,0.0,NotYet
30.0,6.0,13.6,5.5,-1.8,10.0,NotYet
30.0,6.0,13.6,5.5,-1.8,20.0,NotYet
30.0,6.0,13.6,5.5,-1.8,30.0,NotYet
30.0,6.0,13.6,5.5,-1.8,40.0,NotYet
30.0,6.0,13.6,5.5,-1.8,50.0,NotYet
30.0,6.0,13.6,5.5,-1.8,60.0,NotYet
30.0,6.0,13.6,5.5,-1.8,70.0,NotYet
30.0,6.0,13.6,5.5,-1.8,80.0,NotYet
30.0,6.0,13.6,5.5,-1.8,90.0,NotYet
30.0,6.0,13.6,5.5,-1.8,100.0,NotYet
30.0,6.0,13.6,5.5,-1.8,110.0,NotYet
30.0,6.0,13.7,5.6,-1.6,0.0,NotYet
30.0,6.0,13.7,5.6,-1.6,10.0,NotYet
30.0,6.0,13.7,5.6,-1.6,20.0,NotYet
30.0,6.0,13.7,5.6,-1.6,30.0,NotYet
30.0,6.0,13.7,5.6,-1.6,40.0,NotYet
30.0,6.0,13.7,5.6,-1.6,50.0,NotYet
30.0,6.0,13.7,5.6,-1.6,60.0,NotYet
30.0,6.0,13.7,5.6,-1.6,70.0,NotYet
30.0,6.0,13.7,5.6,-1.6,80.0,NotYet
30.0,6.0,13.7,5.6,-1.6,90.0,NotYet
30.0,6.0,13.7,5.6,-1.6,100.0,NotYet
30.0,6.0,13.7,5.6,-1.6,110.0,NotYet
30.0,6.0,10.7,7.6,-1.4,0.0,NotYet
30.0,6.0,10.7,7.6,-1.4,10.0,NotYet
30.0,6.0,10.7,7.6,-1.4,20.0,NotYet
30.0,6.0,10.7,7.6,-1.4,30.0,NotYet
30.0,6.0,10.7,7.6,-1.4,40.0,NotYet
30.0,6.0,10.7,7.6,-1.4,50.0,NotYet
30.0,6.0,10.7,7.6,-1.4,60.0,NotYet
30.0,6.0,10.7,7.6,-1.4,70.0,NotYet
30.0,6.0,10.7,7.6,-1.4,80.0,NotYet
30.0,6.0,10.7,7.6,-1.4,90.0,NotYet
30.0,6.0,10.7,7.6,-1.4,100.0,NotYet
30.0,6.0,10.7,7.6,-1.4,110.0,NotYet
30.0,6.0,10.7,7.7,-1.2,0.0,NotYet
30.0,6.0,10.7,7.7,-1.2,10.0,NotYet
30.0,6.0,10.7,7.7,-1.2,20.0,NotYet
30.0,6.0,10.7,7.7,-1.2,30.0,NotYet
30.0,6.0,10.7,7.7,-1.2,40.0,NotYet
30.0,6.0,10.7,7.7,-1.2,50.0,NotYet
30.0,6.0,10.7,7.7,-1.2,60.0,NotYet
30.0,6.0,10.7,7.7,-1.2,70.0,NotYet
30.0,6.0,10.7,7.7,-1.2,80.0,NotYet
30.0,6.0,10.7,7.7,-1.2,90.0,NotYet
30.0,6.0,10.7,7.7,-1.2,100.0,NotYet
30.0,6.0,10.7,7.7,-1.2,110.0,NotYet
30.0,6.0,8.2,9.8,-1.0,0.0,NotYet
30.0,6.0,8.2,9.8,-1.0,10.0,NotYet
30.0,6.0,8.2,9.8,-1.0,20.0,NotYet
30.0,6.0,8.2,9.8,-1.0,30.0,NotYet
30.0,6.0,8.2,9.8,-1.0,40.0,NotYet
30.0,6.0,8.2,9.8,-1.0,50.0,NotYet
30.0,6.0,8.2,9.8,-1.0,60.0,NotYet
30.0,6.0,8.2,9.8,-1.0,70.0,NotYet
30.0,6.0,8.2,9.8,-1.0,80.0,NotYet
30.0,6.0,8.2,9.8,-1.0,90.0,NotYet
30.0,6.0,8.2,9.8,-1.0,100.0,NotYet
30.0,6.0,8.2,9.8,-1.0,110.0,NotYet
30.0,6.0,8.6,9.6,-0.8,0.0,NotYet
30.0,6.0,8.6,9.6,-0.8,10.0,NotYet
30.0,6.0,8.6,9.6,-0.8,20.0,NotYet
30.0,6.0,8.6,9.6,-0.8,30.0,NotYet
30.0,6.0,8.6,9.6,-0.8,40.0,NotYet
30.0,6.0,8.6,9.6,-0.8,50.0,NotYet
30.0,6.0,8.6,9.6,-0.8,60.0,NotYet
30.0,6.0,8.6,9.6,-0.8,70.0,NotYet
30.0,6.0,8.6,9.6,-0.8,80.0,NotYet
30.0,6.0,8.6,9.6,-0.8,90.0,NotYet
30.0,6.0,8.6,9.6,-0.8,100.0,NotYet
30.0,6.0,8.6,9.6,-0.8,110.0,NotYet
30.0,6.0,10.9,7.7,-0.6,0.0,NotYet
30.0,6.0,10.9,7.7,-0.6,10.0,NotYet
30.0,6.0,10.9,7.7,-0.6,20.0,NotYet
30.0,6.0,10.9,7.7,-0.6,30.0,NotYet
30.0,6.0,10.9,7.7,-0.6,40.0,NotYet
30.0,6.0,10.9,7.7,-0.6,50.0,NotYet
30.0,6.0,10.9,7.7,-0.6,60.0,NotYet
30.0,6.0,10.9,7.7,-0.6,70.0,NotYet
30.0,6.0,10.9,7.7,-0.6,80.0,NotYet
30.0,6.0,10.9,7.7,-0.6,90.0,NotYet
30.0,6.0,10.9,7.7,-0.6,100.0,NotYet
30.0,6.0,10.9,7.7,-0.6,110.0,NotYet
30.0,6.0,10.7,7.8,-0.4,0.0,NotYet
30.0,6.0,10.7,7.8,-0.4,10.0,NotYet
30.0,6.0,10.7,7.8,-0.4,20.0,NotYet
30.0,6.0,10.7,7.8,-0.4,30.0,NotYet
30.0,6.0,10.7,7.8,-0.4,40.0,NotYet
30.0,6.0,10.7,7.8,-0.4,50.0,NotYet
30.0,6.0,10.7,7.8,-0.4,60.0,NotYet
30.0,6.0,10.7,7.8,-0.4,70.0,NotYet
30.0,6.0,10.7,7.8,-0.4,80.0,NotYet
30.0,6.0,10.7,7.8,-0.4,90.0,NotYet
30.0,6.0,10.7,7.8,-0.4,100.0,NotYet
30.0,6.0,10.7,7.8,-0.4,110.0,NotYet
30.0,6.0,9.8,8.4,-0.2,0.0,NotYet
30.0,6.0,9.8,8.4,-0.2,10.0,NotYet
30.0,6.0,9.8,8.4,-0.2,20.0,NotYet
30.0,6.0,9.8,8.4,-0.2,30.0,NotYet
30.0,6.0,9.8,8.4,-0.2,40.0,NotYet
30.0,6.0,9.8,8.4,-0.2,50.0,NotYet
30.0,6.0,9.8,8.4,-0.2,60.0,NotYet
30.0,6.0,9.8,8.4,-0.2,70.0,NotYet
30.0,6.0,9.8,8.4,-0.2,80.0,NotYet
30.0,6.0,9.8,8.4,-0.2,90.0,NotYet
30.0,6.0,9.8,8.4,-0.2,100.0,NotYet
30.0,6.0,9.8,8.4,-0.2,110.0,NotYet
30.0,6.0,9.7,8.4,0.0,0.0,NotYet
30.0,6.0,9.7,8.4,0.0,10.0,NotYet
30.0,6.0,9.7,8.4,0.0,20.0,NotYet
30.0,6.0,9.7,8.4,0.0,30.0,NotYet
30.0,6.0,9.7,8.4,0.0,40.0,NotYet
30.0,6.0,9.7,8.4,0.0,50.0,NotYet
30.0,6.0,9.7,8.4,0.0,60.0,NotYet
30.0,6.0,9.7,8.4,0.0,70.0,NotYet
30.0,6.0,9.7,8.4,0.0,80.0,NotYet
30.0,6.0,9.7,8.4,0.0,90.0,NotYet
30.0,6.0,9.7,8.4,0.0,100.0,NotYet
30.0,6.0,9.7,8.4,0.0,110.0,NotYet
30.0,6.0,9.6,8.4,0.2,0.0,NotYet
30.0,6.0,9.6,8.4,0.2,10.0,NotYet
30.0,6.0,9.6,8.4,0.2,20.0,NotYet
30.0,6.0,9.6,8.4,0.2,30.0,NotYet
30.0,6.0,9.6,8.4,0.2,40.0,NotYet
30.0,6.0,9.6,8.4,0.2,50.0,NotYet
30.0,6.0,9.6,8.4,0.2,60.0,NotYet
30.0,6.0,9.6,8.4,0.2,70.0,NotYet
30.0,6.0,9.6,8.4,0.2,80.0,NotYet
30.0,6.0,9.6,8.4,0.2,90.0,NotYet
30.0,6.0,9.6,8.4,0.2,100.0,NotYet
30.0,6.0,9.6,8.4,0.2,110.0,NotYet
30.0,6.0,9.4,8.5,0.4,0.0,NotYet
30.0,6.0,9.4,8.5,0.4,10.0,NotYet
30.0,6.0,9.4,8.5,0.4,20.0,NotYet
30.0,6.0,9.4,8.5,0.4,30.0,NotYet
30.0,6.0,9.4,8.5,0.4,40.0,NotYet
30.0,6.0,9.4,8.5,0.4,50.0,NotYet
30.0,6.0,9.4,8.5,0.4,60.0,NotYet
30.0,6.0,9.4,8.5,0.4,70.0,NotYet
30.0,6.0,9.4,8.5,0.4,80.0,NotYet
30.0,6.0,9.4,8.5,0.4,90.0,NotYet
30.0,6.0,9.4,8.5,0.4,100.0,NotYet
30.0,6.0,9.4,8.5,0.4,110.0,NotYet
30.0,6.0,9.4,8.7,0.6,0.0,NotYet
30.0,6.0,9.4,8.7,0.6,10.0,NotYet
30.0,6.0,9.4,8.7,0.6,20.0,NotYet
30.0,6.0,9.4,8.7,0.6,30.0,NotYet
30.0,6.0,9.4,8.7,0.6,40.0,NotYet
30.0,6.0,9.4,8.7,0.6,50.0,NotYet
30.0,6.0,9.4,8.7,0.6,60.0,NotYet
30.0,6.0,9.4,8.7,0.6,70.0,NotYet
30.0,6.0,9.4,8.7,0.6,80.0,NotYet
30.0,6.0,9.4,8.7,0.6,90.0,NotYet
30.0,6.0,9.4,8.7,0.6,100.0,NotYet
30.0,6.0,9.4,8.7,0.6,110.0,NotYet
30.0,6.0,9.4,8.7,0.8,0.0,NotYet
30.0,6.0,9.4,8.7,0.8,10.0,NotYet
30.0,6.0,9.4,8.7,0.8,20.0,NotYet
30.0,6.0,9.4,8.7,0.8,30.0,NotYet
30.0,6.0,9.4,8.7,0.8,40.0,NotYet
30.0,6.0,9.4,8.7,0.8,50.0,NotYet
30.0,6.0,9.4,8.7,0.8,60.0,NotYet
30.0,6.0,9.4,8.7,0.8,70.0,NotYet
30.0,6.0,9.4,8.7,0.8,80.0,NotYet
30.0,6.0,9.4,8.7,0.8,90.0,NotYet
30.0,6.0,9.4,8.7,0.8,100.0,NotYet
30.0,6.0,9.4,8.7,0.8,110.0,NotYet
30.0,6.0,9.4,8.8,1.0,0.0,NotYet
30.0,6.0,9.4,8.8,1.0,10.0,NotYet
30.0,6.0,9.4,8.8,1.0,20.0,NotYet
30.0,6.0,9.4,8.8,1.0,30.0,NotYet
30.0,6.0,9.4,8.8,1.0,40.0,NotYet
30.0,6.0,9.4,8.8,1.0,50.0,NotYet
30.0,6.0,9.4,8.8,1.0,60.0,NotYet
30.0,6.0,9.4,8.8,1.0,70.0,NotYet
30.0,6.0,9.4,8.8,1.0,80.0,NotYet
30.0,6.0,9.4,8.8,1.0,90.0,NotYet
30.0,6.0,9.4,8.8,1.0,100.0,NotYet
30.0,6.0,9.4,8.8,1.0,110.0,NotYet
30.0,6.0,9.7,8.5,1.2,0.0,NotYet
30.0,6.0,9.7,8.5,1.2,10.0,NotYet
30.0,6.0,9.7,8.5,1.2,20.0,NotYet
30.0,6.0,9.7,8.5,1.2,30.0,NotYet
30.0,6.0,9.7,8.5,1.2,40.0,NotYet
30.0,6.0,9.7,8.5,1.2,50.0,NotYet
30.0,6.0,9.7,8.5,1.2,60.0,NotYet
30.0,6.0,9.7,8.5,1.2,70.0,NotYet
30.0,6.0,9.7,8.5,1.2,80.0,NotYet
30.0,6.0,9.7,8.5,1.2,90.0,NotYet
30.0,6.0,9.7,8.5,1.2,100.0,NotYet
30.0,6.0,9.7,8.5,1.2,110.0,NotYet
30.0,6.0,9.7,8.4,1.4,0.0,NotYet
30.0,6.0,9.7,8.4,1.4,10.0,NotYet
30.0,6.0,9.7,8.4,1.4,20.0,NotYet
30.0,6.0,9.7,8.4,1.4,30.0,NotYet
30.0,6.0,9.7,8.4,1.4,40.0,NotYet
30.0,6.0,9.7,8.4,1.4,50.0,NotYet
30.0,6.0,9.7,8.4,1.4,60.0,NotYet
30.0,6.0,9.7,8.4,1.4,70.0,NotYet
30.0,6.0,9.7,8.4,1.4,80.0,NotYet
30.0,6.0,9.7,8.4,1.4,90.0,NotYet
30.0,6.0,9.7,8.4,1.4,100.0,NotYet
30.0,6.0,9.7,8.4,1.4,110.0,NotYet
30.0,6.0,9.8,8.3,1.6,0.0,NotYet
30.0,6.0,9.8,8.3,1.6,10.0,NotYet
30.0,6.0,9.8,8.3,1.6,20.0,NotYet
30.0,6.0,9.8,8.3,1.6,30.0,NotYet
30.0,6.0,9.8,8.3,1.6,40.0,NotYet
30.0,6.0,9.8,8.3,1.6,50.0,NotYet
30.0,6.0,9.8,8.3,1.6,60.0,NotYet
30.0,6.0,9.8,8.3,1.6,70.0,NotYet
30.0,6.0,9.8,8.3,1.6,80.0,NotYet
30.0,6.0,9.8,8.3,1.6,90.0,NotYet
30.0,6.0,9.8,8.3,1.6,100.0,NotYet
30.0,6.0,9.8,8.3,1.6,110.0,NotYet
30.0,6.0,9.9,7.9,1.8,0.0,NotYet
30.0,6.0,9.9,7.9,1.8,10.0,NotYet
30.0,6.0,9.9,7.9,1.8,20.0,NotYet
30.0,6.0,9.9,7.9,1.8,30.0,NotYet
30.0,6.0,9.9,7.9,1.8,40.0,NotYet
30.0,6.0,9.9,7.9,1.8,50.0,NotYet
30.0,6.0,9.9,7.9,1.8,60.0,NotYet
30.0,6.0,9.9,7.9,1.8,70.0,NotYet
30.0,6.0,9.9,7.9,1.8,80.0,NotYet
30.0,6.0,9.9,7.9,1.8,90.0,NotYet
30.0,6.0,9.9,7.9,1.8,100.0,NotYet
30.0,6.0,9.9,7.9,1.8,110.0,NotYet
30.0,6.0,11.2,6.5,2.0,0.0,NotYet
30.0,6.0,11.2,6.5,2.0,10.0,NotYet
30.0,6.0,11.2,6.5,2.0,20.0,NotYet
30.0,6.0,11.2,6.5,2.0,30.0,NotYet
30.0,6.0,11.2,6.5,2.0,40.0,NotYet
30.0,6.0,11.2,6.5,2.0,50.0,NotYet
30.0,6.0,11.2,6.5,2.0,60.0,NotYet
30.0,6.0,11.2,6.5,2.0,70.0,NotYet
30.0,6.0,11.2,6.5,2.0,80.0,NotYet
30.0,6.0,11.2,6.5,2.0,90.0,NotYet
30.0,6.0,11.2,6.5,2.0,100.0,NotYet
30.0,6.0,11.2,6.5,2.0,110.0,NotYet
30.0,6.0,11.3,6.6,2.2,0.0,NotYet
30.0,6.0,11.3,6.6,2.2,10.0,NotYet
30.0,6.0,11.3,6.6,2.2,20.0,NotYet
30.0,6.0,11.3,6.6,2.2,30.0,NotYet
30.0,6.0,11.3,6.6,2.2,40.0,NotYet
30.0,6.0,11.3,6.6,2.2,50.0,NotYet
30.0,6.0,11.3,6.6,2.2,60.0,NotYet
30.0,6.0,11.3,6.6,2.2,70.0,NotYet
30.0,6.0,11.3,6.6,2.2,80.0,NotYet
30.0,6.0,11.3,6.6,2.2,90.0,NotYet
30.0,6.0,11.3,6.6,2.2,100.0,NotYet
30.0,6.0,11.3,6.6,2.2,110.0,NotYet
30.0,6.0,10.4,6.9,2.4,0.0,NotYet
30.0,6.0,10.4,6.9,2.4,10.0,NotYet
30.0,6.0,10.4,6.9,2.4,20.0,NotYet
30.0,6.0,10.4,6.9,2.4,30.0,NotYet
30.0,6.0,10.4,6.9,2.4,40.0,NotYet
30.0,6.0,10.4,6.9,2.4,50.0,NotYet
30.0,6.0,10.4,6.9,2.4,60.0,NotYet
30.0,6.0,10.4,6.9,2.4,70.0,NotYet
30.0,6.0,10.4,6.9,2.4,80.0,NotYet
30.0,6.0,10.4,6.9,2.4,90.0,NotYet
30.0,6.0,10.4,6.9,2.4,100.0,NotYet
30.0,6.0,10.4,6.9,2.4,110.0,NotYet
30.0,6.0,9.7,7.2,2.6,0.0,NotYet
30.0,6.0,9.7,7.2,2.6,10.0,NotYet
30.0,6.0,9.7,7.2,2.6,20.0,NotYet
30.0,6.0,9.7,7.2,2.6,30.0,NotYet
30.0,6.0,9.7,7.2,2.6,40.0,NotYet
30.0,6.0,9.7,7.2,2.6,50.0,NotYet
30.0,6.0,9.7,7.2,2.6,60.0,NotYet
30.0,6.0,9.7,7.2,2.6,70.0,NotYet
30.0,6.0,9.7,7.2,2.6,80.0,NotYet
30.0,6.0,9.7,7.2,2.6,90.0,NotYet
30.0,6.0,9.7,7.2,2.6,100.0,NotYet
30.0,6.0,9.7,7.2,2.6,110.0,NotYet
30.0,6.0,9.6,7.2,2.8,0.0,NotYet
30.0,6.0,9.6,7.2,2.8,10.0,NotYet
30.0,6.0,9.6,7.2,2.8,20.0,NotYet
30.0,6.0,9.6,7.2,2.8,30.0,NotYet
30.0,6.0,9.6,7.2,2.8,40.0,NotYet
30.0,6.0,9.6,7.2,2.8,50.0,NotYet
30.0,6.0,9.6,7.2,2.8,60.0,NotYet
30.0,6.0,9.6,7.2,2.8,70.0,NotYet
30.0,6.0,9.6,7.2,2.8,80.0,NotYet
30.0,6.0,9.6,7.2,2.8,90.0,NotYet
30.0,6.0,9.6,7.2,2.8,100.0,NotYet
30.0,6.0,9.6,7.2,2.8,110.0,NotYet
30.0,6.0,9.6,7.2,3.0,0.0,NotYet
30.0,6.0,9.6,7.2,3.0,10.0,NotYet
30.0,6.0,9.6,7.2,3.0,20.0,NotYet
30.0,6.0,9.6,7.2,3.0,30.0,NotYet
30.0,6.0,9.6,7.2,3.0,40.0,NotYet
30.0,6.0,9.6,7.2,3.0,50.0,NotYet
30.0,6.0,9.6,7.2,3.0,60.0,NotYet
30.0,6.0,9.6,7.2,3.0,70.0,NotYet
30.0,6.0,9.6,7.2,3.0,80.0,NotYet
30.0,6.0,9.6,7.2,3.0,90.0,NotYet
30.0,6.0,9.6,7.2,3.0,100.0,NotYet
30.0,6.0,9.6,7.2,3.0,110.0,NotYet
30.0,6.0,9.7,7.1,3.2,0.0,NotYet
30.0,6.0,9.7,7.1,3.2,10.0,NotYet
30.0,6.0,9.7,7.1,3.2,20.0,NotYet
30.0,6.0,9.7,7.1,3.2,30.0,NotYet
30.0,6.0,9.7,7.1,3.2,40.0,NotYet
30.0,6.0,9.7,7.1,3.2,50.0,NotYet
30.0,6.0,9.7,7.1,3.2,60.0,NotYet
30.0,6.0,9.7,7.1,3.2,70.0,NotYet
30.0,6.0,9.7,7.1,3.2,80.0,NotYet
30.0,6.0,9.7,7.1,3.2,90.0,NotYet
30.0,6.0,9.7,7.1,3.2,100.0,NotYet
30.0,6.0,9.7,7.1,3.2,110.0,NotYet
30.0,6.0,9.7,7.0,3.4,0.0,NotYet
30.0,6.0,9.7,7.0,3.4,10.0,NotYet
30.0,6.0,9.7,7.0,3.4,20.0,NotYet
30.0,6.0,9.7,7.0,3.4,30.0,NotYet
30.0,6.0,9.7,7.0,3.4,40.0,NotYet
30.0,6.0,9.7,7.0,3.4,50.0,NotYet
30.0,6.0,9.7,7.0,3.4,60.0,NotYet
30.0,6.0,9.7,7.0,3.4,70.0,NotYet
30.0,6.0,9.7,7.0,3.4,80.0,NotYet
30.0,6.0,9.7,7.0,3.4,90.0,NotYet
30.0,6.0,9.7,7.0,3.4,100.0,NotYet
30.0,6.0,9.7,7.0,3.4,110.0,NotYet
30.0,6.0,9.7,7.0,3.6,0.0,NotYet
30.0,6.0,9.7,7.0,3.6,10.0,NotYet
30.0,6.0,9.7,7.0,3.6,20.0,NotYet
30.0,6.0,9.7,7.0,3.6,30.0,NotYet
30.0,6.0,9.7,7.0,3.6,40.0,NotYet
30.0,6.0,9.7,7.0,3.6,50.0,NotYet
30.0,6.0,9.7,7.0,3.6,60.0,NotYet
30.0,6.0,9.7,7.0,3.6,70.0,NotYet
30.0,6.0,9.7,7.0,3.6,80.0,NotYet
30.0,6.0,9.7,7.0,3.6,90.0,NotYet
30.0,6.0,9.7,7.0,3.6,100.0,NotYet
30.0,6.0,9.7,7.0,3.6,110.0,NotYet
30.0,6.0,9.7,6.9,3.8,0.0,NotYet
30.0,6.0,9.7,6.9,3.8,10.0,NotYet
30.0,6.0,9.7,6.9,3.8,20.0,NotYet
30.0,6.0,9.7,6.9,3.8,30.0,NotYet
30.0,6.0,9.7,6.9,3.8,40.0,NotYet
30.0,6.0,9.7,6.9,3.8,50.0,NotYet
30.0,6.0,9.7,6.9,3.8,60.0,NotYet
30.0,6.0,9.7,6.9,3.8,70.0,NotYet
30.0,6.0,9.7,6.9,3.8,80.0,NotYet
30.0,6.0,9.7,6.9,3.8,90.0,NotYet
30.0,6.0,9.7,6.9,3.8,100.0,NotYet
30.0,6.0,9.7,6.9,3.8,110.0,NotYet
30.0,6.0,9.7,6.9,4.0,0.0,NotYet
30.0,6.0,9.7,6.9,4.0,10.0,NotYet
30.0,6.0,9.7,6.9,4.0,20.0,NotYet
30.0,6.0,9.7,6.9,4.0,30.0,NotYet
30.0,6.0,9.7,6.9,4.0,40.0,NotYet
30.0,6.0,9.7,6.9,4.0,50.0,NotYet
30.0,6.0,9.7,6.9,4.0,60.0,NotYet
30.0,6.0,9.7,6.9,4.0,70.0,NotYet
30.0,6.0,9.7,6.9,4.0,80.0,NotYet
30.0,6.0,9.7,6.9,4.0,90.0,NotYet
30.0,6.0,9.7,6.9,4.0,100.0,NotYet
30.0,6.0,9.7,6.9,4.0,110.0,NotYet
30.0,8.0,5.9,10.0,-3.2,0.0,NotYet
30.0,8.0,5.9,10.0,-3.2,10.0,NotYet
30.0,8.0,5.9,10.0,-3.2,20.0,NotYet
30.0,8.0,5.9,10.0,-3.2,30.0,NotYet
30.0,8.0,5.9,10.0,-3.2,40.0,NotYet
30.0,8.0,5.9,10.0,-3.2,50.0,NotYet
30.0,8.0,5.9,10.0,-3.2,60.0,NotYet
30.0,8.0,5.9,10.0,-3.2,70.0,NotYet
30.0,8.0,5.9,10.0,-3.2,80.0,NotYet
30.0,8.0,5.9,10.0,-3.2,90.0,NotYet
30.0,8.0,5.9,10.0,-3.2,100.0,NotYet
30.0,8.0,5.9,10.0,-3.2,110.0,NotYet
30.0,8.0,12.3,5.1,-3.0,0.0,NotYet
30.0,8.0,12.3,5.1,-3.0,10.0,NotYet
30.0,8.0,12.3,5.1,-3.0,20.0,NotYet
30.0,8.0,12.3,5.1,-3.0,30.0,NotYet
30.0,8.0,12.3,5.1,-3.0,40.0,NotYet
30.0,8.0,12.3,5.1,-3.0,50.0,NotYet
30.0,8.0,12.3,5.1,-3.0,60.0,NotYet
30.0,8.0,12.3,5.1,-3.0,70.0,NotYet
30.0,8.0,12.3,5.1,-3.0,80.0,NotYet
30.0,8.0,12.3,5.1,-3.0,90.0,NotYet
30.0,8.0,12.3,5.1,-3.0,100.0,NotYet
30.0,8.0,12.3,5.1,-3.0,110.0,NotYet
30.0,8.0,12.5,5.1,-2.8,0.0,NotYet
30.0,8.0,12.5,5.1,-2.8,10.0,NotYet
30.0,8.0,12.5,5.1,-2.8,20.0,NotYet
30.0,8.0,12.5,5.1,-2.8,30.0,NotYet
30.0,8.0,12.5,5.1,-2.8,40.0,NotYet
30.0,8.0,12.5,5.1,-2.8,50.0,NotYet
30.0,8.0,12.5,5.1,-2.8,60.0,NotYet
30.0,8.0,12.5,5.1,-2.8,70.0,NotYet
30.0,8.0,12.5,5.1,-2.8,80.0,NotYet
30.0,8.0,12.5,5.1,-2.8,90.0,NotYet
30.0,8.0,12.5,5.1,-2.8,100.0,NotYet
30.0,8.0,12.5,5.1,-2.8,110.0,NotYet
30.0,8.0,12.8,5.1,-2.6,0.0,NotYet
30.0,8.0,12.8,5.1,-2.6,10.0,NotYet
30.0,8.0,12.8,5.1,-2.6,20.0,NotYet
30.0,8.0,12.8,5.1,-2.6,30.0,NotYet
30.0,8.0,12.8,5.1,-2.6,40.0,NotYet
30.0,8.0,12.8,5.1,-2.6,50.0,NotYet
30.0,8.0,12.8,5.1,-2.6,60.0,NotYet
30.0,8.0,12.8,5.1,-2.6,70.0,NotYet
30.0,8.0,12.8,5.1,-2.6,80.0,NotYet
30.0,8.0,12.8,5.1,-2.6,90.0,NotYet
30.0,8.0,12.8,5.1,-2.6,100.0,NotYet
30.0,8.0,12.8,5.1,-2.6,110.0,NotYet
30.0,8.0,12.9,5.2,-2.4,0.0,NotYet
30.0,8.0,12.9,5.2,-2.4,10.0,NotYet
30.0,8.0,12.9,5.2,-2.4,20.0,NotYet
30.0,8.0,12.9,5.2,-2.4,30.0,NotYet
30.0,8.0,12.9,5.2,-2.4,40.0,NotYet
30.0,8.0,12.9,5.2,-2.4,50.0,NotYet
30.0,8.0,12.9,5.2,-2.4,60.0,NotYet
30.0,8.0,12.9,5.2,-2.4,70.0,NotYet
30.0,8.0,12.9,5.2,-2.4,80.0,NotYet
30.0,8.0,12.9,5.2,-2.4,90.0,NotYet
30.0,8.0,12.9,5.2,-2.4,100.0,NotYet
30.0,8.0,12.9,5.2,-2.4,110.0,NotYet
30.0,8.0,13.7,5.2,-2.2,0.0,NotYet
30.0,8.0,13.7,5.2,-2.2,10.0,NotYet
30.0,8.0,13.7,5.2,-2.2,20.0,NotYet
30.0,8.0,13.7,5.2,-2.2,30.0,NotYet
30.0,8.0,13.7,5.2,-2.2,40.0,NotYet
30.0,8.0,13.7,5.2,-2.2,50.0,NotYet
30.0,8.0,13.7,5.2,-2.2,60.0,NotYet
30.0,8.0,13.7,5.2,-2.2,70.0,NotYet
30.0,8.0,13.7,5.2,-2.2,80.0,NotYet
30.0,8.0,13.7,5.2,-2.2,90.0,NotYet
30.0,8.0,13.7,5.2,-2.2,100.0,NotYet
30.0,8.0,13.7,5.2,-2.2,110.0,NotYet
30.0,8.0,13.9,5.4,-2.0,0.0,NotYet
