a,b,theta,z,A2,phi,status
6.1,8.4,60.0,-3.8,8.0,100.0,NotYet
6.1,8.4,60.0,-3.8,8.0,110.0,NotYet
6.1,8.4,60.0,-3.8,8.0,120.0,NotYet
6.1,8.4,60.0,-3.8,10.0,0.0,NotYet
6.1,8.4,60.0,-3.8,10.0,10.0,NotYet
6.1,8.4,60.0,-3.8,10.0,20.0,NotYet
6.1,8.4,60.0,-3.8,10.0,30.0,NotYet
6.1,8.4,60.0,-3.8,10.0,40.0,NotYet
6.1,8.4,60.0,-3.8,10.0,50.0,NotYet
6.1,8.4,60.0,-3.8,10.0,60.0,NotYet
6.1,8.4,60.0,-3.8,10.0,70.0,NotYet
6.1,8.4,60.0,-3.8,10.0,80.0,NotYet
6.1,8.4,60.0,-3.8,10.0,90.0,NotYet
6.1,8.4,60.0,-3.8,10.0,100.0,NotYet
6.1,8.4,60.0,-3.8,10.0,110.0,NotYet
6.1,8.4,60.0,-3.8,10.0,120.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,0.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,10.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,20.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,30.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,40.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,50.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,60.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,70.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,80.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,90.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,100.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,110.0,NotYet
6.1,8.4,60.0,-3.6,-20.0,120.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,0.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,10.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,20.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,30.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,40.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,50.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,60.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,70.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,80.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,90.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,100.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,110.0,NotYet
6.1,8.4,60.0,-3.6,-18.0,120.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,0.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,10.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,20.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,30.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,40.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,50.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,60.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,70.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,80.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,90.0,NotYet
6.1,8.4,60.0,-3.6,-16.0,100.0,NotYet
